name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
New Zealand,153.64,178.67,210.52,205.03,190.62,186.57,175.48,183.59,163.98000000000005,198.63,199.42000000000004,195.13,198.28000000000003,201.07,176.80000000000004,157.54,179.9,152.03000000000003,172.35,163.41000000000003,157.93000000000004,156.74,148.19,151.77999999999994,153.00000000000003,152.62,142.82000000000005,158.03000000000003,144.55,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,88.74000000000002,89.54999999999998,72.28999999999998,80.97000000000001,71.39999999999998,69.86999999999999,
Norway,,163.62,191.56,208.5,197.89000000000004,191.31000000000003,194.82,181.64,178.05,150.53,156.35,153.93,158.61,153.66,163.32999999999996,150.33,154.29000000000005,141.0,138.07999999999996,141.37,142.09,142.67000000000004,127.77,132.03,145.73999999999995,136.42999999999998,146.49,126.0,127.01,127.23,136.43,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,21.19,3.8,,,,1.51,,
Panama,51.06,60.91,67.06,60.19,55.290000000000006,,,,,,,66.38000000000001,83.19,76.68999999999998,77.62999999999998,85.58000000000001,86.77000000000002,78.94,97.24,81.76,77.80999999999997,91.63,71.89999999999998,73.3,68.29,64.0,62.73,55.52,49.31,55.98,44.89999999999999,
Paraguay,39.42,26.76,36.6,,35.33,45.01,27.140000000000004,,,44.46,40.33000000000001,33.46,35.58000000000001,48.55,44.42,42.78,56.52,43.45000000000001,51.35000000000001,65.44000000000001,62.81,65.57,62.51000000000001,58.32,67.32999999999998,54.56000000000001,67.83,63.3,75.39000000000001,72.15,,
Philippines,,,,,,,,9.81,21.97,,,,20.24,22.05,24.88,32.21,27.079999999999995,28.540000000000006,33.41,,,36.66,29.17,33.05,34.89,36.96000000000001,44.90999999999999,,,,,
Poland,,,,,,172.64,180.27000000000004,194.43000000000004,187.85,185.96,181.7,178.20999999999995,,,184.15,191.01,180.65,183.26999999999995,180.14999999999995,187.73999999999995,186.04,182.85,166.46999999999994,177.37999999999997,197.1,190.64,183.86,192.37000000000003,187.59,178.3,166.99,
Portugal,164.82000000000005,165.52999999999997,171.32999999999996,137.74999999999997,130.32,150.21,165.15999999999997,148.3,125.83,123.82,128.93,115.77,102.18,87.05999999999997,89.46,85.88000000000002,115.73000000000003,171.82999999999996,166.45999999999995,,,,143.54999999999995,141.01999999999995,139.7,148.84,127.86,139.4,132.73,153.88999999999996,,
Puerto Rico,154.61,178.23000000000005,143.76,161.68999999999997,169.53999999999996,181.58,184.81,135.30999999999997,151.25,147.27999999999994,120.87,139.81000000000003,99.25999999999998,131.07,117.31,108.26,106.89,91.59000000000002,96.99,108.95,105.11,95.3,93.08,107.08,124.9,103.84000000000002,90.55,87.1,90.59000000000002,77.09,85.58000000000001,
Qatar,,,,,,,,,,,0.0,,,,,,27.300000000000004,,,15.25,18.8,87.30000000000003,28.61,13.55,19.9,12.83,18.85,13.27,8.23,18.989999999999995,18.84,16.43
Korea,146.64999999999995,143.31,128.23999999999998,114.58,121.4,120.53,116.18000000000002,127.39,159.48000000000005,165.4,179.28000000000003,216.99,226.8,302.32,257.52000000000004,248.59,273.54,361.04,454.12,469.69999999999993,479.04,420.46,466.54000000000013,452.28000000000014,519.5200000000002,518.2,515.05,443.25999999999993,428.57,385.32999999999987,389.14,
Romania,,,,,157.77000000000004,125.92,133.38,164.18,162.07,172.78000000000003,156.18,159.98000000000005,161.6,161.28999999999996,158.27,159.19000000000003,149.11,173.6,159.70999999999995,151.19,146.01,149.09,136.05999999999997,140.4,144.01999999999995,150.04000000000005,138.78,142.03,137.99,131.02999999999997,133.54999999999998,116.33
Russian Federation,,,,,398.82,399.17,396.39999999999986,437.48,522.0600000000002,567.64,547.38,526.2800000000002,508.09,474.74,510.13,504.47,504.65,488.55,468.91000000000014,447.61,420.33999999999986,401.31,386.99000000000007,366.8,352.8,319.21,299.68,285.5100000000001,273.97,259.22,236.92,
Saint Kitts and Nevis,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,59.95,141.42000000000004,182.20999999999995,88.91000000000003,26.92,104.09,98.11,75.28,45.8,81.71000000000002,61.03000000000001,117.54,119.03,74.94,197.86,59.08,187.52000000000004,133.26000000000002,66.17,24.82,17.83,,0.0,82.32,30.31,53.32,85.03,114.10000000000002,91.56,,
Saint Vincent and Grenadines,32.79,0.0,0.0,,,72.06,,,,,85.41,85.06,30.02,194.42,65.80000000000001,44.11,160.66000000000003,202.93,50.91,46.46,72.11,122.06999999999998,102.39,40.28999999999999,11.18,54.83,46.98,97.29,0.0,80.78,28.08,
San Marino,,,,,,,,,,,,,,,64.35000000000001,47.26,,,,,34.01,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,307.05,344.73,324.16,297.0,295.91,271.27,262.50999999999993,286.31999999999994,286.06999999999994,258.45,242.61,258.43000000000006,234.48,243.45,234.53,217.73,216.78,205.97,
Seychelles,156.18000000000004,23.26,60.72,,,,,,,,,,,,,,87.57000000000002,154.12,100.0,63.27000000000001,71.5,275.75,147.64,39.07,43.81,51.99,51.34,33.5,131.4,43.33,81.25,
Singapore,353.36000000000007,324.61,273.56,360.19,354.11,272.03,229.38,205.42,235.14000000000004,246.85000000000005,282.76,208.94,206.65,215.36,166.45000000000005,164.33999999999997,167.80000000000004,172.39,172.73999999999995,167.47999999999996,180.33,148.74999999999997,165.76000000000005,150.25,149.58,129.23000000000002,116.96,141.61999999999995,137.87,131.78,109.28999999999998,
Slovakia,,,,,,,,214.23,195.34,185.04000000000005,198.69999999999996,174.50000000000009,164.10000000000005,161.84,172.08,180.08,171.88,191.77,169.16000000000003,150.89999999999995,165.37,0.0,0.0,134.20000000000002,139.08,143.68,,129.48000000000002,143.90999999999997,132.82000000000002,,
Slovenia,,,,,,,,,,,393.87000000000006,421.10999999999984,410.1,413.6,393.36,404.12000000000006,423.4,354.3,376.56000000000006,298.4799999999999,337.41,347.87,291.44999999999993,263.09,268.71000000000004,265.59,281.66,279.74,283.01999999999987,240.37,264.81,
South Africa,,,,,,,,,,,,8.03,4.95,7.699999999999998,10.87,9.54,12.43,6.98,9.240000000000002,12.63,15.29,17.919999999999995,12.12,14.14,10.71,13.09,9.31,13.56,14.9,15.079999999999998,13.000000000000002,
Spain,114.93,119.83,122.14,127.28,126.49,129.24,121.84000000000002,119.00999999999998,120.85,124.32,123.81,126.53,131.32,124.04,119.08,122.21000000000002,112.4,115.64,116.48999999999997,112.63,107.66,99.87,98.94999999999996,98.51999999999998,98.01999999999998,87.44,88.58999999999997,96.88,101.31999999999998,104.35000000000002,97.38000000000002,
Sri Lanka,558.7200000000001,529.8000000000002,,,,,,,,,,395.71,472.1,451.15,445.24,427.29000000000013,358.06,339.41,352.75000000000006,,,328.73000000000013,,,,,,,,,,
Suriname,470.84,211.99,251.7,209.72000000000008,212.12,214.09,215.46,137.96,,,182.52,84.27000000000002,115.69,101.95,216.7,127.93,218.09,214.23,246.0,202.1,211.17,298.26,356.1400000000001,416.82,369.71,425.3,353.31000000000006,454.11,286.7999999999999,357.34,,
Sweden,,,230.91,231.67,238.33999999999997,222.05000000000004,217.54,200.78,200.97000000000003,195.69000000000003,191.72,178.24000000000004,167.19000000000003,175.8,172.64,162.50000000000003,167.49000000000004,162.71,153.41,157.41000000000003,164.61999999999995,160.76,147.38999999999996,155.68,160.4,146.54000000000005,141.77,148.11,158.20000000000005,149.04999999999995,149.29999999999995,138.84000000000003
Switzerland,,,,,,,,,,,283.07000000000005,279.89,266.77,273.42,251.98,266.2,261.69,273.70000000000005,242.66000000000003,242.27000000000004,246.19,241.63,255.81,237.51,180.12999999999997,160.52000000000004,168.21999999999997,165.38999999999996,170.26000000000005,162.10000000000005,164.66,
Thailand,82.54,71.91000000000003,81.82,,,95.92,86.46,83.1,,56.27000000000001,93.52,93.05,86.37,99.56,109.03,106.1,,103.12,91.16,86.06,77.99,69.04000000000002,79.14000000000001,78.17999999999998,78.56,80.49999999999999,77.59000000000002,80.68999999999997,79.56000000000002,76.96000000000002,81.15000000000002,77.32
Trinidad and Tobago,30.17,123.13,155.54000000000005,228.75,198.16,186.38000000000005,153.53999999999996,194.39,161.52999999999997,159.4,242.93,196.36,189.39,196.04,145.32,198.32,205.33,159.01,158.24999999999997,188.28000000000003,144.14,133.89,143.58,178.25,120.24,150.50000000000003,138.69000000000003,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,21.29,31.69,23.07,28.4,35.42,30.830000000000005,28.47,
Turkmenistan,,,173.61,162.45,135.33000000000004,172.01,126.94,111.85,115.43,116.92,90.44,103.64,100.97,136.50000000000003,145.06,112.13,133.46,115.43,107.02000000000002,112.79999999999998,134.19000000000003,143.84,96.69,117.58,42.54,45.74999999999999,31.63000000000001,30.6,23.29,28.15,28.48000000000001,
Ukraine,,,294.04,286.72,316.32,296.7000000000001,297.91,322.49000000000007,352.11,384.29,396.67,403.42,395.67,390.15,376.06,377.19000000000005,348.14,344.0499999999999,337.0700000000001,307.05,297.18,282.79,281.12,274.5,279.25999999999993,263.07000000000005,263.99999999999994,268.4700000000001,,250.5,244.72,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,16.05,16.55,15.99,11.86,11.730000000000002,22.71,,,,,,
United Kingdom,116.45,112.01,103.81,114.55,99.19,103.34000000000002,98.8,98.75,96.85,94.76000000000002,92.34,88.32000000000002,88.77999999999999,90.76,92.44,87.33,85.14,82.71,80.14999999999998,82.72,79.15999999999998,78.17,74.92,80.71000000000002,78.00000000000001,77.41000000000003,78.28999999999998,79.47,84.91999999999999,83.92999999999998,86.74,
